"","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths"
"56",-1,6,3,17,21,31,65,7,12,72,32,0,9,0,60,23,1,9,44,159,50,1,231,21,14,10,0,11,0,0,2,362,6,1,20,6,2,234,11,1,2,0,25,0,23,2,10,10,2,-1,996
"57",-1,7,0,23,36,0,50,5,8,25,60,0,9,0,127,17,5,5,129,302,50,1,81,23,14,8,0,19,1,5,0,351,7,4,38,9,1,72,7,16,0,6,14,3,24,0,7,14,0,-1,997
"58",-1,0,6,18,74,63,41,15,5,72,27,0,12,3,31,15,1,3,90,0,77,2,83,28,20,8,0,16,1,0,6,362,11,9,48,9,3,266,6,10,2,4,17,1,25,3,20,4,4,-1,957
"59",-1,10,0,17,53,23,204,19,12,57,35,0,14,1,59,58,7,5,53,255,35,1,77,14,9,12,0,23,1,0,0,322,8,23,53,6,0,59,12,7,2,3,26,0,24,1,9,10,0,-1,882
"60",-1,9,4,7,93,46,92,7,7,23,63,0,8,0,119,31,0,12,57,221,35,1,107,15,2,6,0,19,4,0,22,230,7,2,46,1,5,51,15,9,0,4,23,6,38,2,37,5,2,-1,1003
"61",-1,14,3,2,96,122,121,9,8,26,23,0,5,0,97,40,6,9,54,178,71,0,238,18,60,2,0,24,2,13,7,292,13,8,34,2,3,23,13,8,0,7,48,2,26,0,20,3,4,-1,936
"62",-1,14,8,0,81,10,95,11,7,48,14,0,9,1,123,35,2,6,29,196,62,4,164,24,0,10,0,13,1,0,10,134,5,1,21,10,1,46,17,3,0,4,20,3,12,1,24,6,0,-1,732
"63",-1,16,4,0,103,4,128,7,9,45,88,0,4,1,107,45,2,6,32,174,62,1,108,27,0,11,0,12,0,0,2,257,6,0,17,7,5,23,24,15,-1,5,14,0,11,0,21,9,3,-1,804
"64",-1,17,4,33,37,18,98,6,9,26,23,0,19,1,80,27,12,2,77,169,0,0,70,24,7,11,0,3,1,0,0,397,7,13,25,8,0,70,21,39,-1,5,13,5,32,0,45,19,1,-1,668
"65",-1,0,3,12,48,30,59,13,5,94,50,0,12,0,58,31,5,5,68,104,111,1,160,24,10,20,0,8,1,7,9,276,3,11,46,8,7,160,14,13,-1,1,15,1,30,2,19,8,0,-1,652
"66",-1,1,4,10,57,30,88,8,5,59,33,0,12,0,50,57,3,8,126,150,30,1,92,9,16,10,0,30,-1,2,8,257,9,13,138,8,2,327,15,12,-1,9,53,1,30,1,26,8,1,-1,619
"67",-1,8,0,0,139,11,75,19,6,9,18,0,12,0,142,63,1,14,61,252,36,0,161,28,5,12,0,20,-1,3,1,231,10,3,39,0,2,102,18,11,-1,7,35,5,29,1,30,11,1,-1,628
"68",-1,17,1,32,112,44,82,7,9,20,8,-1,9,3,90,150,3,8,47,157,73,1,102,30,5,7,0,21,-1,0,0,24,9,9,27,0,1,160,11,8,-1,13,58,2,36,2,27,7,2,-1,607
"69",-1,28,0,0,88,11,88,12,11,13,9,-1,13,0,140,61,6,11,22,154,47,0,119,23,23,32,-1,17,-1,10,20,106,8,3,19,9,5,60,19,8,-1,0,28,0,43,0,12,5,0,-1,565
"70",-1,26,3,33,68,10,82,5,8,83,79,-1,6,0,102,0,0,4,11,130,66,1,77,26,19,32,-1,21,-1,10,1,398,11,7,17,6,0,25,4,13,-1,3,23,2,24,0,11,1,0,-1,547
"71",-1,14,3,31,36,9,97,8,0,47,41,-1,18,2,102,0,6,6,61,158,57,3,155,24,21,22,-1,13,-1,0,0,329,12,5,18,7,0,118,8,9,-1,0,15,1,29,0,7,13,0,-1,567
"72",-1,7,1,24,54,52,0,14,4,50,65,-1,17,0,59,0,4,0,44,86,54,0,32,20,34,13,-1,11,-1,0,0,457,11,19,78,6,4,341,14,11,-1,1,23,2,0,0,17,9,-1,-1,478
"73",-1,3,2,67,85,16,120,8,12,46,31,-1,12,1,41,36,4,7,60,122,30,1,86,13,11,12,-1,25,-1,0,18,310,11,8,90,4,2,166,18,4,-1,8,24,0,56,0,22,12,-1,-1,463
"74",-1,10,1,15,82,25,77,10,10,50,37,-1,18,0,175,166,1,10,65,208,39,0,44,23,9,9,-1,25,-1,15,9,204,6,0,46,2,6,244,6,10,-1,15,29,8,43,0,27,10,-1,-1,510
"75",-1,32,0,4,85,16,85,7,13,15,8,-1,10,1,140,37,4,0,23,132,73,1,73,24,11,5,-1,16,-1,0,5,129,6,16,35,2,3,126,11,1,-1,7,31,2,15,0,24,14,-1,-1,510
"76",-1,15,0,6,95,7,79,8,11,20,7,-1,5,0,137,33,2,7,19,150,53,2,89,34,15,22,-1,26,-1,9,4,39,5,0,25,4,3,64,10,15,-1,14,40,2,12,0,10,2,-1,-1,329
"77",-1,23,0,20,54,4,77,9,15,72,62,-1,4,3,130,43,0,4,52,138,57,0,54,20,22,8,-1,9,-1,0,1,334,6,0,10,0,0,27,10,9,-1,3,41,1,11,0,23,9,-1,-1,225
"78",-1,10,2,33,36,16,58,8,4,68,53,-1,12,0,108,18,3,2,51,139,45,0,131,17,15,15,-1,10,-1,0,1,305,7,8,16,6,3,26,7,7,-1,5,28,4,42,0,7,9,-1,-1,194
"79",-1,2,2,29,62,23,35,7,7,61,28,-1,26,2,57,32,1,0,52,129,46,2,25,22,15,13,-1,7,-1,0,-1,258,11,10,79,1,0,82,26,9,-1,3,23,0,36,0,21,3,-1,-1,541
"80",-1,3,5,27,103,52,41,5,7,69,28,-1,17,0,53,38,3,12,41,33,35,2,29,9,13,17,-1,0,-1,-1,-1,153,8,2,47,3,4,180,6,9,-1,3,29,1,28,0,22,13,-1,-1,212
"81",-1,1,3,28,83,24,33,6,6,46,45,-1,14,0,142,41,2,20,19,174,31,1,90,17,6,11,-1,33,-1,-1,-1,156,0,10,51,0,3,194,18,0,-1,4,26,-1,22,0,25,11,-1,-1,240
"82",-1,15,3,1,71,64,84,9,7,6,3,-1,22,0,191,27,1,10,40,167,58,0,40,29,11,6,-1,2,-1,-1,-1,140,15,4,47,0,0,134,23,5,-1,0,63,-1,25,1,11,8,-1,-1,928
"83",-1,18,2,7,78,42,94,5,5,14,3,-1,10,-1,136,45,0,10,19,110,42,-1,73,32,20,27,-1,47,-1,-1,-1,84,3,3,29,5,0,58,18,6,-1,8,45,-1,7,0,15,0,-1,-1,250
"84",-1,7,1,18,74,23,66,8,0,44,38,-1,0,-1,131,50,0,5,22,113,36,-1,38,33,9,16,-1,3,-1,-1,-1,191,-1,8,15,6,0,15,11,8,-1,2,38,-1,5,0,12,6,-1,-1,152
"85",-1,12,1,42,29,9,54,-1,4,48,54,-1,-1,-1,70,10,2,0,39,92,48,-1,56,10,28,10,-1,6,-1,-1,-1,183,-1,0,32,5,1,20,0,8,-1,14,25,-1,27,0,15,8,-1,-1,226
"86",-1,8,-1,17,63,33,69,-1,6,48,19,-1,-1,-1,48,14,-1,0,34,65,36,-1,10,17,9,15,-1,6,-1,-1,-1,232,-1,19,63,3,2,113,-1,9,-1,7,7,-1,33,0,22,14,-1,-1,214
"87",-1,2,-1,11,100,42,42,-1,-1,42,28,-1,-1,-1,57,59,-1,0,36,76,34,-1,24,12,5,21,-1,-1,-1,-1,-1,202,-1,6,61,4,4,142,-1,3,-1,2,38,-1,25,0,15,6,-1,-1,205
"88",-1,15,-1,26,78,11,22,-1,-1,47,43,-1,-1,-1,145,40,-1,-1,31,128,25,-1,102,-1,4,9,-1,-1,-1,-1,-1,113,-1,3,56,0,1,99,-1,6,-1,-1,38,-1,36,0,13,9,-1,-1,279
